feature,importance
order_trend_pct,0.16647447229968537
recent_vs_avg,0.1213073248771385
days_since_last_order,0.11196728142879522
complaints_last3m,0.10315152685877284
payment_delay_days,0.08501526642755391
google_rating,0.08223474617687701
order_volatility,0.0699170766722163
order_slope,0.06539123026034642
avg_monthly_cubes,0.04646248062135425
flavours_ordered,0.03160419999189899
seating_capacity,0.023173613834456555
months_onboarded,0.020209840589564557
instagram_followers,0.01714583103478343
outreach_response_rate,0.014755097994697717
am_assigned,0.013512009432193587
cuisine_enc,0.01268420737887979
type_enc,0.008572516081101463
city_enc,0.0064212780396841135
