outlet_id,outlet_name,outlet_type,city,cuisine_type,account_manager,seating_capacity,google_rating,instagram_followers,months_onboarded,flavours_ordered,complaints_last3m,payment_delay_days,am_assigned,outreach_response_rate,order_m1,order_m2,order_m3,order_m4,order_m5,order_m6,avg_monthly_cubes,order_trend_pct,days_since_last_order,monthly_revenue_inr,monthly_gp_inr,annual_revenue_inr,ltv_24m_inr,churn_risk_score,churned,recommended_intervention,intervention_cost_inr,expected_revenue_saved_inr,retention_roi,intervention_efficiency,retention_priority_index,health_tier,priority_tier,city_enc,type_enc,cuisine_enc,order_slope,order_volatility,recent_vs_avg,churn_prob_model,churn_risk_model,ltv_predicted_inr
FF-1000,The Blue Petal Café,Bar & Lounge,Delhi,Multi-Cuisine,Priya Nair,123,4.4,64674,5,5,3,29,1,0,20784,19289,18840,15671,13008,9848,16240,-52.61,4,97440,44822,1169280,627508,27.3,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,2,2,6,-2187.2,4203.131832336454,0.6063666030416847,0.14357285089955865,14.4,775072
FF-1001,Skyline Bar,Catering Service,Bangalore,Pan-Asian,Priya Nair,61,4.6,26660,30,3,4,23,0,3,6888,6380,6278,5930,5513,4523,5918,-34.33,24,35508,16334,426096,392016,9.1,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,0,3,7,-473.0,823.9096228753896,0.7641493495522892,0.030348887754052006,3.0,349329
FF-1002,Monarch Grand Hotel,4-Star Hotel,Bangalore,Mediterranean,Priya Nair,44,4.9,18133,32,3,5,2,0,2,6829,6909,6483,5228,4156,3212,5469,-52.96,59,32814,15094,393768,271692,45.5,0,Dedicated Account Manager,8000,74171,827.0,0.85,3.5,🟡 At Risk,Tier 3 – Monitor,0,0,5,-723.4,1538.0177827320463,0.5872029250457038,0.10131999673722274,10.1,317711
FF-1003,Spice Route,5-Star Hotel,Ranchi,Pan-Asian,Arjun Mehta,58,4.8,17514,8,4,7,10,1,2,13479,13248,14060,13259,13540,11991,13262,-11.04,3,79572,36603,954864,878472,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,6,1,7,-297.6,689.4662911750412,0.90409409635829,0.08774176613672037,8.8,764073
FF-1004,The Artisan Brew,Premium Café,Hyderabad,Multi-Cuisine,Vikram Singh,150,4.5,81032,10,2,4,44,1,2,8381,7748,7642,7097,5814,4843,6920,-42.21,68,41520,19099,498240,458376,36.4,0,Extended Credit Terms,830,100109,11946.9,0.7,3.9,🟢 Healthy,Tier 3 – Monitor,3,6,6,-707.6,1334.9066509185827,0.6997543707556712,0.21757013971196348,21.8,376225
FF-1005,Fusion 9,Premium Café,Chennai,Italian,Neha Joshi,248,4.5,49604,32,4,2,3,1,1,12688,12857,12625,11455,10884,10291,11800,-18.89,40,70800,32568,849600,716496,0.0,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,1,6,3,-479.4,1079.0347538425258,0.8720447419710194,0.014607429783503188,1.5,696257
FF-1006,Cloud Nine Lounge,Premium Café,Bangalore,Multi-Cuisine,Riya Sharma,127,3.5,42121,28,4,5,25,1,1,18542,17092,17528,8191,3878,1746,11162,-90.58,120,66972,30807,803664,123228,72.7,1,Dedicated Account Manager,8000,53752,571.8,0.85,2.54,🔴 Critical,Tier 3 – Monitor,0,6,6,-3359.2,7492.660473200868,0.15640956732061273,0.8710767854530171,87.1,225616
FF-1007,The Grand Palate,Fine Dining Restaurant,Mumbai,Italian,Vikram Singh,191,3.4,77731,17,1,3,26,1,3,5006,5236,5187,4829,4325,3961,4757,-20.87,54,28542,13129,342504,315096,45.5,0,Extended Credit Terms,571,86021,14938.8,0.7,3.35,🟡 At Risk,Tier 3 – Monitor,4,5,3,-209.0,510.24804425560194,0.8324926439680538,0.199361647006383,19.9,277152
FF-1008,Saffron Kitchen,5-Star Hotel,Hyderabad,Continental,Priya Nair,121,4.2,68888,31,4,0,42,1,2,7483,7251,7422,6965,6640,6037,6966,-19.32,35,41796,19226,501552,403746,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,3,1,0,-289.2,552.4069755774873,0.8665135639443089,0.07531291124279232,7.5,385289
FF-1009,Urban Brew Co.,4-Star Hotel,Mumbai,Multi-Cuisine,Vikram Singh,31,3.2,16514,8,5,4,26,0,1,11773,10906,10140,9461,8725,7837,9807,-33.43,56,58842,27067,706104,189469,54.5,1,Extended Credit Terms,1177,61956,5159.5,0.7,2.41,🟡 At Risk,Tier 3 – Monitor,4,0,6,-787.2,1439.1098637699624,0.799041598694943,0.6245896386363349,62.5,498519
